,Position,Company,Location,Job URL,Job Description,Skills
0,Java Senior Developer/Team Lead,Koshali Arts & Crafts Enterprise,India,"https://www.glassdoor.co.in/job-listing/java-senior-developer-team-lead-koshali-arts-crafts-enterprise-JV_KO0,31_KE32,62.htm?jl=1009700301451",Stay updated with the latest industry trends and technologies to ensure our applications are up-to-date. We are seeking a highly skilled and experienced Senior…&hellip;,"CI/CD, CSS, React, Kubernetes, Git"
1,"Software Engineer I , ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/software-engineer-i-itc-nike-JV_KO0,23_KE24,28.htm?jl=1009644218720","On a daily basis, you will collaborate with peer software engineers, product managers, and architects on product teams to achieve business objectives.&hellip;","CI/CD, Node.js, React, NoSQL, Git"
2,Lead Software Engineer,Atlas Copco (India) Private Ltd.,Pune,"https://www.glassdoor.co.in/job-listing/lead-software-engineer-atlas-copco-india-private-ltd-JV_IC2856202_KO0,22_KE23,52.htm?jl=1009688823299","NET Full Stack Developer, you play a pivotal role in both the frontend and backend aspects of web development using the . NET and SQL development is essential.&hellip;","Jira, CI/CD, SSO, Azure, MVC"
3,Principal Software Engineer,Optum,Gurgaon,"https://www.glassdoor.co.in/job-listing/principal-software-engineer-optum-JV_IC2921225_KO0,27_KE28,33.htm?jl=1009695398292","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","CI/CD, Azure, DevOps, NoSQL, Java"
4,"SOFTWARE ENGINEER II, ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/software-engineer-ii-itc-nike-JV_KO0,24_KE25,29.htm?jl=1009675975893",Provide responsive support and operations for the platforms you help build. Work with leadership to define delivery schedules of key features through an agile…&hellip;,"Azure, Cloud architecture, Node.js, DevOps, Spark"
5,Lead Software Engineer,Mastercard,Pune,"https://www.glassdoor.co.in/job-listing/lead-software-engineer-mastercard-JV_IC2856202_KO0,22_KE23,33.htm?jl=1009474747367","All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected…&hellip;","Oracle, CSS, Git, Enterprise architecture, Information security"
6,Web Developer,Rx Connections,Delhi,"https://www.glassdoor.co.in/job-listing/web-developer-rx-connections-JV_KO0,13_KE14,28.htm?jl=1009695638074","Design, design, and maintain web and mobile applications using a variety of programming languages and frameworks. Knowledge of React and Flutter is required.&hellip;","Microsoft Word, Adobe Photoshop, Website Management, Microsoft Excel, Microsoft Outlook"
7,Senior Software Engineer Test,Mastercard,Pune,"https://www.glassdoor.co.in/job-listing/senior-software-engineer-test-mastercard-JV_IC2856202_KO0,29_KE30,40.htm?jl=1009634158751",We are seeking a talented Sr. Software Development Engineer in Test to lead the design and test automation strategy for your SCRUM team to validate application…&hellip;,"CI/CD, DevOps, Test automation, Information security, Project management"
8,"Software Developer 2, Production Planning",Kinaxis Inc.,Bengaluru,"https://www.glassdoor.co.in/job-listing/software-developer-2-production-planning-kinaxis-inc-JV_IC2940587_KO0,40_KE41,52.htm?jl=1009670595812","We provide accommodations upon request to ensure fairness and accessibility throughout our recruitment process for all candidates, including those with specific…&hellip;","CI/CD, Visual Studio, Supply chain, Git, OOP"
9,Senior Software Engineer II - React Native,Optum,Hyderābād,"https://www.glassdoor.co.in/job-listing/senior-software-engineer-ii-react-native-optum-JV_IC2865319_KO0,40_KE41,46.htm?jl=1009659256413","Measure and optimize system performance, with an eye toward pushing our capabilities forward, getting ahead of customer needs, and innovating to continually…&hellip;","CI/CD, JUnit, React, Mobile applications, Git"
10,Software Development Engineer For Test,BP Energy,Pune,"https://www.glassdoor.co.in/job-listing/software-development-engineer-for-test-bp-energy-JV_IC2856202_KO0,38_KE39,48.htm?jl=1009687779028","As a Software Development Engineer in Test, you will be part of a cross-disciplinary team, working closely with other software engineers, product management, UX…&hellip;","CI/CD, Azure, React, DevOps, iOS"
11,"Software Engineer II, ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/software-engineer-ii-itc-nike-JV_KO0,24_KE25,29.htm?jl=1009644218731",2-5+ years of hands-on industry software development experience. Demonstrated experience of working with a multidisciplinary team while also being able to work…&hellip;,"CI/CD, Node.js, Software troubleshooting, Cucumber (software testing tool), DevOps"
12,Software Development Engineer II,American Express Global Business Travel,Gurgaon,"https://www.glassdoor.co.in/job-listing/software-development-engineer-ii-american-express-global-business-travel-JV_IC2921225_KO0,32_KE33,72.htm?jl=1009612427886","Develop the skills you want when the time is right for you, with global tuition assistance, access to over 20,000 courses on our learning platform, leadership…&hellip;","CI/CD, JUnit, React, Cucumber (software testing tool), Selenium"
13,"Manager Software Engineering-DevOps, Java, AWS",Optum,Gurgaon,"https://www.glassdoor.co.in/job-listing/manager-software-engineering-devops-java-aws-optum-JV_IC2921225_KO0,44_KE45,50.htm?jl=1009697147378","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","CI/CD, Cloud infrastructure, Azure, Kubernetes, DevOps"
14,Software Engineer,BP Energy,Pune,"https://www.glassdoor.co.in/job-listing/software-engineer-bp-energy-JV_IC2856202_KO0,17_KE18,27.htm?jl=1009664900671","As a Software Engineer, you will be responsible for building, maintaining and troubleshooting the software and services that powers our technology solutions.&hellip;","Data modeling, Cloud infrastructure, Azure, Software troubleshooting, C#"
15,Software Development Test Engineer,American Express Global Business Travel,Gurgaon,"https://www.glassdoor.co.in/job-listing/software-development-test-engineer-american-express-global-business-travel-JV_IC2921225_KO0,34_KE35,74.htm?jl=1009660286137","Develop the skills you want when the time is right for you, with global tuition assistance, access to over 20,000 courses on our learning platform, leadership…&hellip;","Jira, Elasticsearch, Test automation, Microsoft SQL Server, Git"
16,"Senior Software Engineer - EDI, Global Converse, ITC",CONVERSE,Karnataka,"https://www.glassdoor.co.in/job-listing/senior-software-engineer-edi-global-converse-itc-converse-JV_KO0,48_KE49,57.htm?jl=1009694076645","As a key member of our EDI Integration team, you will plan, create, analyse, and implement electronic data interchange (EDI) systems and supporting processes.&hellip;","FTP, SFTP, EDI, WebSphere, AWS"
17,Manager Software Engineering - DevOps,Optum,Gurgaon,"https://www.glassdoor.co.in/job-listing/manager-software-engineering-devops-optum-JV_IC2921225_KO0,35_KE36,41.htm?jl=1009676886969","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","CI/CD, Azure, Kubernetes, Enterprise Software, DevOps"
18,"Lead Software Engineer, ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/lead-software-engineer-itc-nike-JV_KO0,26_KE27,31.htm?jl=1009644218735","On a daily basis, you will collaborate with peer software engineers, product managers, and architects on product teams to achieve business objectives.&hellip;","CI/CD, Authentication, Computer science, Cloud architecture, Node.js"
19,Software Engineer I,Indeed,Remote,"https://www.glassdoor.co.in/job-listing/software-engineer-i-indeed-JV_KO0,19_KE20,26.htm?jl=1009608931808","Contribute to building and improving our code deployment and data pipeline. Equivalent expertise demonstrated through a combination of work experience, training…&hellip;","Node.js, React, Software deployment, Java, TypeScript"
20,Software Developer,Siemens,Bengaluru,"https://www.glassdoor.co.in/job-listing/software-developer-siemens-JV_IC2940587_KO0,18_KE19,26.htm?jl=1009693725473","At least 1+ years experience working on UiPath. We provide support in Project Services and Transformation, Digital Solutions and Delivery Management.&hellip;","Visual Basic, SAP, C#, .NET, Java"
21,Software Engineer II,Indeed,Remote,"https://www.glassdoor.co.in/job-listing/software-engineer-ii-indeed-JV_KO0,20_KE21,27.htm?jl=1009697422812","2+ years of software development experience in a combination of developing web applications with modern JavaScript frameworks (React, Angular, Vue), developing…&hellip;","Data modeling, React, Java, JavaScript, Angular"
22,Software Engineer-Summer Internship,Nbyula,Bengaluru,"https://www.glassdoor.co.in/job-listing/software-engineer-summer-internship-nbyula-JV_IC2940587_KO0,35_KE36,42.htm?jl=1008078264217",An annual long break from Christmas to New year so that you rest and rejuvenate. First to third year students pursuing B.Tech.&hellip;,Distributed systems
23,Software Engineering Lead - .net .C# + Azure,Optum,Hyderābād,"https://www.glassdoor.co.in/job-listing/software-engineering-lead-net-c-azure-optum-JV_IC2865319_KO0,37_KE38,43.htm?jl=1009699002437","Solid knowledge of software architecture, object-oriented design, design patterns, and agile best-practices. Write clean, maintainable, and efficient code that…&hellip;","CI/CD, ASP.NET, Azure, DevOps, C#"
24,Software Engineer II - Employer Agent,Indeed,Remote,"https://www.glassdoor.co.in/job-listing/software-engineer-ii-employer-agent-indeed-JV_KO0,35_KE36,42.htm?jl=1009663155828","Design, develop, and maintain high-quality, scalable, and performant LLM-powered agents that address key employer needs.&hellip;","Data structures, Microservices, OOP, Electrical experience, REST"
25,Software Engineer,Optum,Gurgaon,"https://www.glassdoor.co.in/job-listing/software-engineer-optum-JV_IC2921225_KO0,17_KE18,23.htm?jl=1009697147376","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","CI/CD, Azure, Kubernetes, NoSQL, Git"
26,Software Development Engineer I,American Express Global Business Travel,Gurgaon,"https://www.glassdoor.co.in/job-listing/software-development-engineer-i-american-express-global-business-travel-JV_IC2921225_KO0,31_KE32,71.htm?jl=1009670823623","Develop the skills you want when the time is right for you, with global tuition assistance, access to over 20,000 courses on our learning platform, leadership…&hellip;","Oracle, CSS, C#, Git, Test-driven development"
27,Software Test Engineer,BrainerHub Solutions,Ahmedabad,"https://www.glassdoor.co.in/job-listing/software-test-engineer-brainerhub-solutions-JV_IC2935226_KO0,22_KE23,43.htm?jl=1009487442487","Up-to-date knowledge of software test design and testing methodologies. In this role, you will be responsible for designing and executing tests to identify…&hellip;","CI/CD, TestNG, JUnit, Test automation, Selenium"
28,"Lead Software Engineer - EDI, Global Converse, ITC",CONVERSE,Karnataka,"https://www.glassdoor.co.in/job-listing/lead-software-engineer-edi-global-converse-itc-converse-JV_KO0,46_KE47,55.htm?jl=1009694076647",You will work closely with cross-functional teams to identify business requirements and develop technical solutions to meet those needs.&hellip;,"FTP, SFTP, Oracle, EDI, Software troubleshooting"
29,Software Developer -SAP ABAP,IBM - Avature,Bengaluru,"https://www.glassdoor.co.in/job-listing/software-developer-sap-abap-ibm-avature-JV_IC2940587_KO0,27_KE28,39.htm?jl=1009700131916","Specific responsibility include: * Perform detailed design, customization, development, and implementation of IT solutions that meets business requirements *…&hellip;","SAP, Analysis skills, Business requirements, ABAP"
30,Lead AI/ML Engineer,Optum,Hyderābād,"https://www.glassdoor.co.in/job-listing/lead-ai-ml-engineer-optum-JV_IC2865319_KO0,19_KE20,25.htm?jl=1009662096410","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","Web analytics, Data mining, R, Google Cloud Platform, Java"
31,"Lead AI/ML Engineer - Gen AI, NLP,ML",Optum,Hyderābād,"https://www.glassdoor.co.in/job-listing/lead-ai-ml-engineer-gen-ai-nlp-ml-optum-JV_IC2865319_KO0,33_KE34,39.htm?jl=1009662096430","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","Software deployment, Presentation skills, Machine learning, Natural language processing, AI"
32,Data Scientist Manager,BP Energy,Pune,"https://www.glassdoor.co.in/job-listing/data-scientist-manager-bp-energy-JV_IC2856202_KO0,22_KE23,32.htm?jl=1009525902509","Stay up to date with industry trends, standard methodologies and new technologies in data analytics, machine learning, data science technique !&hellip;","Data modeling, Azure, SAP, Salesforce, Data structures"
33,"Senior AI or ML Engineer - GenAI, Python",Optum,Bengaluru,"https://www.glassdoor.co.in/job-listing/senior-ai-or-ml-engineer-genai-python-optum-JV_IC2940587_KO0,37_KE38,43.htm?jl=1009679732788","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","TensorFlow, Azure, Management, Big data, Spark"
34,Data Analyst/ Analytics Engineer,American Express Global Business Travel,Bengaluru,"https://www.glassdoor.co.in/job-listing/data-analyst-analytics-engineer-american-express-global-business-travel-JV_IC2940587_KO0,31_KE32,71.htm?jl=1009572022291","Whether you’re an analyst with a knack for building scalable solutions or an engineer eager to expand into a more analytical, data-focused role, this…&hellip;","CI/CD, Git, SQL, Continuous integration, Software development"
35,Lead Member of Technical Staff- Machine Learning & AI,Athenahealth,Bengaluru,"https://www.glassdoor.co.in/job-listing/lead-member-of-technical-staff-machine-learning-ai-athenahealth-JV_IC2940587_KO0,50_KE51,63.htm?jl=1009689369606",Stay abreast and evaluate the latest in data science technologies and determine how to incorporate these into our data science best practices.&hellip;,"Computer science, Image processing, Computer vision, Spark, AWS"
36,Machine Learning Operation Engineer III (ML_OPS),Expedia Group,Gurgaon,"https://www.glassdoor.co.in/job-listing/machine-learning-operation-engineer-iii-ml-ops-expedia-group-JV_IC2921225_KO0,46_KE47,60.htm?jl=1009588157019",Work in a cross-functional team of Machine Learning engineers and Data scientists to design and code large scale batch and real-time data pipelines on the AWS.&hellip;,"TensorFlow, Kubernetes, Software deployment, Spark, NoSQL"
37,Machine Learning Engineer/Data Scientist,InnoWise,Remote,"https://www.glassdoor.co.in/job-listing/machine-learning-engineer-data-scientist-innowise-JV_KO0,40_KE41,49.htm?jl=1007992097975",They must have a proven ability to drive business results with their data-based insights. Apply fundamental data science and AI/ML technologies (e.g. Python…&hellip;,"Data mining, Data analysis skills, English, Project management, Machine learning"
38,Staff Data Scientist,Indeed,Remote,"https://www.glassdoor.co.in/job-listing/staff-data-scientist-indeed-JV_KO0,20_KE21,27.htm?jl=1009668537338","5+ years of industry experience as an AI Engineer, Data Scientist, or Machine Learning Engineer. On a daily basis, you will explore data and formulate problem…&hellip;","TensorFlow, Data structures, English, Machine learning, Deep learning"
39,Data Analyst Intern,Labmentix,Remote,"https://www.glassdoor.co.in/job-listing/data-analyst-intern-labmentix-JV_KO0,19_KE20,29.htm?jl=1009682287960","As an intern, you will have the opportunity to work remotely from Bengaluru, gaining valuable experience in data analysis and contributing to various projects.&hellip;","Microsoft Excel, Data analysis skills, SQL, Analysis skills, Communication skills"
40,Data Scientist ( Fresher ),itpreneur institute,Pune,"https://www.glassdoor.co.in/job-listing/data-scientist-fresher-itpreneur-institute-JV_IC2856202_KO0,22_KE23,42.htm?jl=1009667270107","Tech in Computer Science or IT. Year of Passing:* 2023, 2024, 2025. Package:* ₹10 - 15 LPA. Round 1:* Technical Aptitude Test. Job Types: Full-time, Fresher.&hellip;","Data science, AI, Communication skills"
41,Data Analytics Intern (Fresher),Suventure Services,Remote,"https://www.glassdoor.co.in/job-listing/data-analytics-intern-fresher-suventure-services-JV_KO0,29_KE30,48.htm?jl=1009675701818","This internship is ideal for freshers who have a keen interest in data analysis, visualization, and business intelligence.&hellip;","Power BI, Business intelligence, R, Tableau, SQL"
42,Data Scientist II,Indeed,Remote,"https://www.glassdoor.co.in/job-listing/data-scientist-ii-indeed-JV_KO0,17_KE18,24.htm?jl=1009610529039","Clarify project priorities, deliverables, and success criteria in collaboration with cross-functional teams. Break down larger Machine Learning initiatives into…&hellip;","TensorFlow, Data structures, English, Machine learning, Deep learning"
43,Data Scientist,Innovecture,Remote,"https://www.glassdoor.co.in/job-listing/data-scientist-innovecture-JV_KO0,14_KE15,26.htm?jl=1009691263116","As a Data Scientist, you will work closely with data experts in the business to analyze complex datasets, develop innovative data-driven solutions, and provide…&hellip;","Power BI, R, Tableau, Machine learning, Natural language processing"
44,Data Scientist,Insightrix Consulting,Remote,"https://www.glassdoor.co.in/job-listing/data-scientist-insightrix-consulting-JV_KO0,14_KE15,36.htm?jl=1009696315448","Stay updated with the latest industry trends and technologies, and apply best practices in data science to enhance project outcomes.&hellip;","R, AWS, Machine learning, Cloud computing, Data science"
45,Junior Data Scientist,Cravita Technologies India,India,"https://www.glassdoor.co.in/job-listing/junior-data-scientist-cravita-technologies-india-JV_KO0,21_KE22,48.htm?jl=1009182079367","Strong proficiency in programming languages such as Python and R. Expertise in sentiment analysis, NER, and other natural language processing techniques is a…&hellip;","R, Sentiment analytics, Machine learning, Natural language processing, Data visualization"
46,Data Scientist,Hotsourced India Pvt Ltd,Remote,"https://www.glassdoor.co.in/job-listing/data-scientist-hotsourced-india-pvt-ltd-JV_KO0,14_KE15,39.htm?jl=1009694131614",Experience with working with large volumes of data. Python and frameworks for Computer Vision tasks: 3 years (Required). AWS cloud services: 3 years (Required).&hellip;,"TensorFlow, Image processing, Computer vision, Software deployment, Spark"
47,Data Scientist,Emplay Inc,Remote,"https://www.glassdoor.co.in/job-listing/data-scientist-emplay-inc-JV_KO0,14_KE15,25.htm?jl=1009695037333",Develop and implement data models and algorithms to solve complex business. Collaborate with cross-functional teams to integrate data-driven solutions into.&hellip;,"TensorFlow, .NET, SQL, Analysis skills, Docker"
48,Data Scientist,Agnik,India,"https://www.glassdoor.co.in/job-listing/data-scientist-agnik-JV_KO0,14_KE15,20.htm?jl=1005717882072","Pursuing a Degree in Electrical Engineering, Math, Physics, Statistics. AGNIK is hiring a Data Science Intern with some background in the following areas and…&hellip;","Data mining, Signal processing, Java, C++, C"
49,Data Scientist,Larsen & Toubro,Mumbai,"https://www.glassdoor.co.in/job-listing/data-scientist-larsen-toubro-JV_IC2851180_KO0,14_KE15,28.htm?jl=1009541596181",Building models to address business problems. Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive…&hellip;,"Data mining, Java, Machine learning, Predictive analytics, Python"
50,Data Scientist Intern,SoulPage IT Solutions,Hyderābād,"https://www.glassdoor.co.in/job-listing/data-scientist-intern-soulpage-it-solutions-JV_IC2865319_KO0,21_KE22,43.htm?jl=1009297290638","As a Data Scientist Intern, you will work closely with our data science team to analyze large datasets, develop predictive models, and extract actionable…&hellip;","Machine learning, Data science, Communication skills, Python"
